Channel Name,Videos,Subscriber (M),Views
T-Series,21280,268000000,259258211055
SET India,140340,174000000,165774163058
Zee Music Company,11440,108000000,67399922897
Goldmines,8659,97700000,29240728832
Sony SAB,86867,93300000,116238964768
ChuChu TV Nursery Rhymes & Kids Songs,803,91600000,51335548210
Zee TV,178388,81400000,91006787229
Colors TV,154478,73600000,71641796299
Shemaroo Filmi Gaane,8617,68700000,29441166518
T-Series Bhakti Sagar,28136,68100000,34260974230
Tips Official,5947,66700000,39279328818
Aaj Tak,370697,65700000,32333915976
Infobells - Hindi,681,62800000,36438515161
Wave Music,20213,62200000,42873251322
Sony Music India,4767,60800000,32233531039
YRF,4124,60400000,41487584841
Shemaroo,12419,53800000,24680630641
आचार्य प्रशान्त - Acharya Prashant,10528,49800000,2706179827
Voot Kids,5918,47600000,22856074597
Ishtar Music,4628,45500000,19474774870
StarPlus,91438,44200000,44549321026
Speed Records,11533,44200000,29070837738
ABP NEWS,385819,44000000,17435032188
Sony PAL,28636,43200000,33014779352
Goldmines Gaane Sune Ansune,3818,42400000,19110166918
Real fools shorts official,571,42300000,18415561976
Total Gaming,503,42300000,4285631491
CarryMinati,197,42200000,3784167630
Dushyant kukreja,1206,42100000,25589595460
IndiaTV,307266,41900000,20517655107
Saregama Music,8850,41500000,19792757838
Techno Gamerz,1041,41000000,11885843855
T-Series Bollywood Classics,2061,41000000,26793964904
Shorts Break,627,40800000,28194303279
MR. INDIAN HACKER,1032,40500000,7088245089
Ultra Bollywood,9416,40200000,16094340716
Jkk Entertainment,237,37900000,16971975208
T-Series Apna Punjab,8574,36800000,23792882720
WowKidz,8103,36800000,19689537253
Rajshri,4433,36400000,16677735237
Zee News,177810,36300000,21749445341
Heroindori,665,36300000,13127827943
Priyal Kukreja,1084,35500000,21421579574
Geet MP3,740,35300000,13780792956
Worldwide Records Bhojpuri,7221,34900000,18224915329
Anaya Kandhal,1421,34900000,30102195534
Dangal TV Channel,32082,34400000,23594793423
Eros Now Music,9733,34100000,17792449874
Desi Music Factory,193,33900000,10634874175
KHANDESHI MOVIES,235,33800000,11737368233
Round2hell,68,33400000,3431975738
unknown boy varun,715,33200000,13440120160
Aditya Movies,7856,33000000,12767616050
Pokémon Asia Official (Hindi),320,32900000,1712960116
Shemaroo Movies,3407,32700000,9005780268
Aditya Music,23794,32300000,30083270402
infobells - Telugu,607,32000000,17368560234
infobells - Tamil,657,31800000,19854748045
Tilak,10184,31600000,12703327716
Ishaan Ali 11,1317,31100000,18070342568
Goldmines Bollywood,4778,30900000,10110894717
Crazy XYZ,1362,30600000,9007574996
Azhan5star,894,30400000,12527308231
ashish chanchlani vines,157,30400000,4773067244
The Lallantop,56483,30000000,12663329356
Kids Channel India - Hindi Rhymes and Baby Songs,1349,29400000,12131882495
Sandeep Maheshwari,636,28500000,2440350022
ABPLIVE,225263,28300000,9551967545
Neetu Bisht,2317,27500000,19915326791
Sun TV,93219,27500000,29294628805
Filmy Suraj Actor,324,27400000,13067493878
Pen Movies,1759,27300000,8003305159
Ultra Movie Parlour,1984,26500000,5440757806
Goldmines Movies,5804,26500000,6593916365
BB Ki Vines,192,26400000,4975878043
News18 India,262948,26300000,12651441871
jaanvi patel,642,26000000,11344946337
LIV Crime,15547,25800000,13653156080
Venus Entertainment,1975,25800000,6131479541
The geeta gurjar,1724,25800000,20351401025
Aja Kitchen,1928,25500000,15580598651
Pawan Sahu,1929,25400000,11238861922
Village Cooking Channel,238,25100000,7420803670
Goldmines Cineplex,4389,24800000,3227043137
Narendra Modi,27024,24700000,5750823159
Wave Music Bhojpuri,23845,24700000,14377501297
Sidhu Moose Wala,116,24600000,7567332841
Amit Bhadana,119,24400000,2482989907
ToRung,286,24400000,16325521147
Vijay Television,74752,24400000,40994198265
Netflix India,4663,24100000,9985727346
Ishtar Punjabi,6430,24000000,11964071073
Taarak Mehta Ka Ooltah Chashmah,10152,23500000,18213341033
Technical Guruji,5483,23500000,3697350550
Wow Kidz Action,3978,23200000,10068679329
Khan GS Research Centre,379,23200000,2348101818
RKD Studios,947,23100000,5780953005
Republic Bharat,175681,23000000,12484692407
Tappu Honey Parmar,2237,22700000,9650992938
Busy Fun Ltd,254,22600000,9462927292
