#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M
2,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M
3,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M
4,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M
5,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M
6,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M
7,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M
8,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M
9,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M
10,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M
11,Wave Music @bhojpuriwave,55.6M,-,India,,16.7M
12,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55.3M,-,India,,16.6M
13,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M
14,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,India,,14.5M
15,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,India,,14M
16,CarryMinati @carryminati,41.6M,9.2%,India,Video Gaming,12.5M
17,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41.2M,-,India,Celebrity,12.4M
18,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,India,Music,12.3M
19,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39.3M,-,India,,11.8M
20,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M
21,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M
22,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M
